       x            y            z        r
  375.440917   515.218266     0.000000  20.0000
  275.182741   351.908368     0.000000  20.0000
  295.447207   305.596507     0.000000  20.0000
  214.406971   477.445893     0.000000  20.0000
  245.228781   448.849956     0.000000  20.0000
  310.922602   429.952503     0.000000  20.0000
  423.061436   335.888128     0.000000  20.0000
  532.598037   512.152512     0.000000  20.0000
  574.503625   286.161179     0.000000  20.0000
  406.100900   222.626964     0.000000  20.0000
  259.796353   281.283048     0.000000  20.0000
  353.374066   314.679729     0.000000  20.0000
  382.780489   364.772526     0.000000  20.0000
  488.097443   470.609183     0.000000  20.0000
  492.993987   525.094525     0.000000  20.0000
  320.365293   218.117404     0.000000  20.0000
  413.403516   472.993431     0.000000  20.0000
  455.334361   495.581135     0.000000  20.0000
  513.304602   250.000513     0.000000  20.0000
  457.320773   547.178723     0.000000  20.0000
  386.715912   280.610507     0.000000  20.0000
  323.008865   482.914471     0.000000  20.0000
  232.272634   361.563547     0.000000  20.0000
  413.516448   540.258432     0.000000  20.0000
  291.297705   257.796331     0.000000  20.0000
  429.805232   264.501202     0.000000  20.0000
  575.678615   330.149283     0.000000  20.0000
  505.778805   434.222356     0.000000  20.0000
  531.441860   295.654180     0.000000  20.0000
  366.488798   474.617139     0.000000  20.0000
  279.985942   469.603957     0.000000  20.0000
  402.834236   419.753740     0.000000  20.0000
  360.966585   244.936820     0.000000  20.0000
  325.510570   522.851134     0.000000  20.0000
  528.224746   472.237055     0.000000  20.0000
  228.053303   542.061509     0.000000  20.0000
  492.635996   310.315244     0.000000  20.0000
  421.934802   376.987165     0.000000  20.0000
  536.155989   338.296635     0.000000  20.0000
  353.609528   435.117163     0.000000  20.0000
  554.679960   375.610463     0.000000  20.0000
  320.650148   567.494519     0.000000  20.0000
  346.341002   387.085553     0.000000  20.0000
  277.788841   534.359778     0.000000  20.0000
  325.602021   346.156205     0.000000  20.0000
  467.804440   342.552614     0.000000  20.0000
  249.371698   320.628116     0.000000  20.0000
  440.233152   394.264806     0.000000  20.0000
  357.870002   554.522813     0.000000  20.0000
  247.782822   506.607792     0.000000  20.0000
  302.000737   389.412825     0.000000  20.0000
  507.923923   371.793229     0.000000  20.0000
  258.618970   406.914732     0.000000  20.0000
  327.026671   277.284824     0.000000  20.0000
  481.235345   402.048978     0.000000  20.0000
  451.829001   299.591970     0.000000  20.0000
  441.748818   441.415994     0.000000  20.0000
  474.015554   260.864981     0.000000  20.0000
  542.558507   419.417163     0.000000  20.0000
  495.812502   564.680833     0.000000  20.0000
